timestamp_utc	requests_processing	requests_queued	prompt_tokens_total	generation_tokens_total
2026-08-23T04:58:09Z	0	0	80	8
2026-08-23T04:58:14Z	0	0	80	8
2026-08-23T04:58:19Z	23	6	6485	1282
2026-08-23T04:58:24Z	24	6	21553	6917
2026-08-23T04:58:29Z	23	10	47941	11722
2026-08-23T04:58:35Z	22	14	74542	19088
2026-08-23T04:58:40Z	24	14	123001	23199
2026-08-23T04:58:45Z	24	18	159995	27368
2026-08-23T04:58:50Z	24	12	186243	34446
2026-08-23T04:58:55Z	20	11	214482	37639
2026-08-23T04:59:00Z	19	16	230784	43751
2026-08-23T04:59:05Z	20	17	259800	49905
2026-08-23T04:59:10Z	24	14	304881	55987
2026-08-23T04:59:15Z	21	13	332360	61353
2026-08-23T04:59:20Z	23	17	361956	70099
2026-08-23T04:59:25Z	22	16	382214	78057
2026-08-23T04:59:30Z	22	14	406137	89222
2026-08-23T04:59:35Z	23	13	446352	100623
2026-08-23T04:59:40Z	19	18	483888	104689
2026-08-23T04:59:46Z	18	21	519693	113479
2026-08-23T04:59:51Z	16	21	546428	118528
2026-08-23T04:59:56Z	17	20	558647	119659
2026-08-23T05:00:01Z	15	22	567243	123340
2026-08-23T05:00:06Z	13	25	580031	129684
2026-08-23T05:00:11Z	19	20	607658	137991
2026-08-23T05:00:16Z	16	24	628436	141832
2026-08-23T05:00:21Z	16	21	651687	145546
2026-08-23T05:00:26Z	17	17	681574	156374
2026-08-23T05:00:31Z	17	17	710873	163350
2026-08-23T05:00:36Z	10	25	730359	166570
2026-08-23T05:00:41Z	9	26	735235	169443
2026-08-23T05:00:46Z	13	24	762508	170659
2026-08-23T05:00:51Z	10	27	772920	171585
2026-08-23T05:00:56Z	8	30	778453	174975
2026-08-23T05:01:01Z	8	31	790847	176259
2026-08-23T05:01:06Z	8	31	790847	176259
2026-08-23T05:01:11Z	8	31	790847	176259
2026-08-23T05:01:17Z	9	31	819038	184598
2026-08-23T05:01:22Z	10	29	828955	185842
2026-08-23T05:01:27Z	16	23	836311	219904
2026-08-23T05:01:32Z	20	19	855343	245772
2026-08-23T05:01:37Z	14	21	887743	250546
2026-08-23T05:01:42Z	10	25	912984	270611
2026-08-23T05:01:47Z	8	28	921319	273327
2026-08-23T05:01:52Z	11	27	985894	279237
2026-08-23T05:01:57Z	13	27	1002391	280373
2026-08-23T05:02:02Z	21	19	1043068	285606
2026-08-23T05:02:07Z	12	29	1085909	293731
2026-08-23T05:02:12Z	23	14	1145220	295726
2026-08-23T05:02:17Z	16	20	1168538	299931
2026-08-23T05:02:22Z	17	22	1195138	306475
2026-08-23T05:02:27Z	14	23	1234941	315752
2026-08-23T05:02:32Z	19	18	1254007	335929
2026-08-23T05:02:37Z	23	12	1312122	341267
2026-08-23T05:02:42Z	15	17	1340959	346725
2026-08-23T05:02:48Z	9	22	1356722	350156
2026-08-23T05:02:53Z	14	21	1401956	352454
2026-08-23T05:02:58Z	17	20	1441594	355507
2026-08-23T05:03:03Z	16	26	1475101	361996
2026-08-23T05:03:08Z	20	22	1508185	368959
2026-08-23T05:03:13Z	24	14	1554087	378234
2026-08-23T05:03:18Z	18	16	1591545	385175
2026-08-23T05:03:23Z	18	15	1630207	390125
2026-08-23T05:03:28Z	21	16	1686434	394564
2026-08-23T05:03:33Z	16	19	1712600	398953
2026-08-23T05:03:38Z	15	22	1743298	403045
2026-08-23T05:03:43Z	16	18	1792074	406392
2026-08-23T05:03:48Z	21	17	1819974	410067
2026-08-23T05:03:53Z	13	26	1855602	415362
2026-08-23T05:03:58Z	22	16	1895598	417899
2026-08-23T05:04:03Z	21	13	1927057	423423
2026-08-23T05:04:08Z	15	18	1947857	426960
2026-08-23T05:04:13Z	20	15	1979399	429776
2026-08-23T05:04:19Z	19	17	2004942	433616
2026-08-23T05:04:24Z	17	20	2023428	436788
2026-08-23T05:04:29Z	15	21	2042236	444896
2026-08-23T05:04:34Z	14	22	2059936	451346
2026-08-23T05:04:39Z	15	21	2093419	459590
2026-08-23T05:04:44Z	13	25	2119501	464648
2026-08-23T05:04:49Z	13	26	2129773	479900
2026-08-23T05:04:54Z	14	23	2172415	484215
2026-08-23T05:04:59Z	19	15	2199713	486338
2026-08-23T05:05:04Z	10	23	2229113	490760
2026-08-23T05:05:09Z	7	25	2239229	494564
2026-08-23T05:05:14Z	7	25	2239229	494564
2026-08-23T05:05:19Z	11	21	2278893	498047
2026-08-23T05:05:24Z	13	19	2296924	499436
2026-08-23T05:05:29Z	10	23	2307546	503160
2026-08-23T05:05:34Z	12	19	2323647	520921
2026-08-23T05:05:40Z	12	22	2367016	526736
2026-08-23T05:05:45Z	11	26	2396064	530384
2026-08-23T05:05:50Z	8	30	2424967	533841
2026-08-23T05:05:55Z	12	26	2466338	536411
2026-08-23T05:06:00Z	11	25	2475951	538837
2026-08-23T05:06:05Z	6	32	2499461	542103
2026-08-23T05:06:10Z	6	32	2499461	542103
2026-08-23T05:06:15Z	9	30	2524841	543273
2026-08-23T05:06:20Z	7	31	2557417	546647
2026-08-23T05:06:25Z	6	33	2572735	548070
2026-08-23T05:06:30Z	6	33	2592228	550687
2026-08-23T05:06:35Z	8	30	2594712	567751
2026-08-23T05:06:40Z	7	32	2602022	568672
2026-08-23T05:06:45Z	8	31	2638330	570949
2026-08-23T05:06:50Z	15	23	2661908	589526
2026-08-23T05:06:55Z	16	19	2689126	591749
2026-08-23T05:07:00Z	12	22	2715175	597036
2026-08-23T05:07:05Z	11	22	2721680	598933
2026-08-23T05:07:11Z	7	28	2733974	603095
2026-08-23T05:07:16Z	7	28	2760113	621475
2026-08-23T05:07:21Z	11	24	2785998	624507
2026-08-23T05:07:26Z	18	17	2814210	626813
2026-08-23T05:07:31Z	11	21	2852852	631404
2026-08-23T05:07:36Z	11	23	2868691	633800
2026-08-23T05:07:41Z	10	23	2906737	636415
2026-08-23T05:07:46Z	12	21	2931646	637412
2026-08-23T05:07:51Z	11	24	2959514	640463
2026-08-23T05:07:56Z	8	26	2971461	641790
2026-08-23T05:08:01Z	9	28	2976897	642748
2026-08-23T05:08:06Z	9	26	2991412	644117
2026-08-23T05:08:11Z	8	28	2997811	644722
2026-08-23T05:08:16Z	8	28	2997811	644722
2026-08-23T05:08:21Z	8	28	2997811	644722
2026-08-23T05:08:26Z	6	31	3004224	648578
2026-08-23T05:08:31Z	6	31	3005253	657774
2026-08-23T05:08:39Z	6	31	3005253	657774
2026-08-23T05:08:44Z	7	31	3020304	658634
2026-08-23T05:08:49Z	6	32	3022375	658854
2026-08-23T05:08:55Z	5	33	3030028	675238
2026-08-23T05:09:00Z	5	33	3030028	675238
2026-08-23T05:09:05Z	5	33	3030028	675238
2026-08-23T05:09:10Z	5	33	3030028	675238
2026-08-23T05:09:15Z	5	33	3030028	675238
2026-08-23T05:09:20Z	5	33	3030028	675238
2026-08-23T05:09:25Z	5	33	3030028	675238
2026-08-23T05:09:30Z	5	33	3030028	675238
2026-08-23T05:09:35Z	5	33	3030028	675238
2026-08-23T05:09:40Z	5	33	3032258	691622
2026-08-23T05:09:45Z	4	34	3032258	691622
2026-08-23T05:09:50Z	4	34	3032258	691622
2026-08-23T05:09:55Z	3	34	3050451	708006
2026-08-23T05:10:00Z	4	34	3050451	708006
2026-08-23T05:10:05Z	3	33	3051475	724390
2026-08-23T05:10:10Z	6	32	3080631	725775
2026-08-23T05:10:15Z	2	35	3113672	743620
2026-08-23T05:10:20Z	2	35	3113672	743620
2026-08-23T05:10:25Z	3	35	3113672	743620
2026-08-23T05:10:31Z	3	35	3113672	743620
2026-08-23T05:10:36Z	7	30	3145003	745863
2026-08-23T05:10:41Z	5	33	3153668	746664
2026-08-23T05:10:46Z	5	34	3162188	748037
2026-08-23T05:10:51Z	5	33	3165039	749099
2026-08-23T05:10:56Z	5	32	3180741	750464
2026-08-23T05:11:01Z	4	33	3192773	752145
2026-08-23T05:11:06Z	5	33	3192773	752145
2026-08-23T05:11:11Z	4	33	3205355	754115
2026-08-23T05:11:16Z	4	33	3206979	754382
2026-08-23T05:11:21Z	4	33	3208268	754841
2026-08-23T05:11:26Z	5	31	3219577	755309
2026-08-23T05:11:31Z	5	31	3219577	755309
2026-08-23T05:11:36Z	4	32	3223844	755936
2026-08-23T05:11:41Z	2	34	3227268	773490
2026-08-23T05:11:46Z	2	34	3227268	773490
2026-08-23T05:11:51Z	2	34	3227268	773490
2026-08-23T05:11:56Z	2	34	3227268	773490
2026-08-23T05:12:01Z	2	34	3227268	773490
2026-08-23T05:12:07Z	2	34	3227268	773490
2026-08-23T05:12:12Z	2	34	3227268	773490
2026-08-23T05:12:17Z	2	34	3227268	773490
2026-08-23T05:12:22Z	2	34	3227268	773490
2026-08-23T05:12:27Z	2	34	3227268	773490
2026-08-23T05:12:32Z	2	34	3227268	773490
2026-08-23T05:12:37Z	2	34	3227268	773490
2026-08-23T05:12:42Z	2	34	3227268	773490
2026-08-23T05:12:47Z	2	34	3227268	773490
2026-08-23T05:12:52Z	2	34	3227268	773490
2026-08-23T05:12:57Z	2	34	3227268	773490
2026-08-23T05:13:02Z	2	34	3227268	773490
2026-08-23T05:13:07Z	2	34	3227268	773490
2026-08-23T05:13:12Z	2	34	3227268	773490
2026-08-23T05:13:17Z	2	34	3227268	773490
2026-08-23T05:13:22Z	2	34	3227268	773490
2026-08-23T05:13:27Z	2	34	3227268	773490
2026-08-23T05:13:32Z	2	34	3227268	773490
2026-08-23T05:13:37Z	2	34	3227268	773490
2026-08-23T05:13:42Z	2	34	3227268	773490
2026-08-23T05:13:48Z	2	34	3227268	773490
2026-08-23T05:13:53Z	3	32	3294746	789874
2026-08-23T05:13:58Z	8	27	3303969	790670
2026-08-23T05:14:03Z	20	18	3338997	791992
2026-08-23T05:14:08Z	13	21	3364755	811984
2026-08-23T05:14:13Z	10	25	3390749	813865
2026-08-23T05:14:18Z	6	30	3408632	816532
2026-08-23T05:14:23Z	6	30	3408632	816532
2026-08-23T05:14:28Z	6	30	3408632	816532
2026-08-23T05:14:33Z	9	28	3461299	817895
2026-08-23T05:14:38Z	9	26	3472462	818453
2026-08-23T05:14:43Z	7	29	3475321	819626
2026-08-23T05:14:48Z	9	27	3505961	821091
2026-08-23T05:14:53Z	7	28	3509956	825616
2026-08-23T05:14:58Z	8	27	3541044	828505
2026-08-23T05:15:03Z	9	26	3574492	829806
2026-08-23T05:15:08Z	7	27	3587789	835862
2026-08-23T05:15:13Z	8	27	3613281	838264
2026-08-23T05:15:19Z	11	23	3643024	840838
2026-08-23T05:15:24Z	12	19	3667511	844069
2026-08-23T05:15:29Z	9	22	3686755	846330
2026-08-23T05:15:34Z	18	12	3734910	850436
2026-08-23T05:15:39Z	8	18	3760988	853333
2026-08-23T05:15:44Z	9	17	3778617	855845
2026-08-23T05:15:49Z	7	18	3783829	856821
2026-08-23T05:15:54Z	4	20	3823323	861003
2026-08-23T05:15:59Z	9	15	3852887	862441
2026-08-23T05:16:04Z	6	16	3879390	863732
2026-08-23T05:16:09Z	5	16	3916749	864809
2026-08-23T05:16:14Z	6	16	3919918	865867
2026-08-23T05:16:19Z	8	14	3965364	867987
2026-08-23T05:16:24Z	10	9	3982951	869595
2026-08-23T05:16:29Z	9	6	3993056	871128
2026-08-23T05:16:34Z	10	2	4023669	874624
2026-08-23T05:16:39Z	6	3	4053018	877799
2026-08-23T05:16:45Z	8	1	4064209	878468
2026-08-23T05:16:50Z	6	3	4093529	881018
2026-08-23T05:16:55Z	5	4	4108914	882382
2026-08-23T05:17:00Z	8	0	4136796	883660
2026-08-23T05:17:05Z	5	2	4162413	885809
2026-08-23T05:17:10Z	5	1	4179856	887169
2026-08-23T05:17:15Z	6	0	4210080	888019
2026-08-23T05:17:20Z	4	0	4245219	938542
2026-08-23T05:17:25Z	3	0	4248627	938807
2026-08-23T05:17:30Z	2	0	4273197	940326
2026-08-23T05:17:35Z	2	0	4273197	940326
2026-08-23T05:17:40Z	2	0	4273197	940326
2026-08-23T05:17:45Z	2	0	4273197	940326
2026-08-23T05:17:50Z	2	0	4273197	940326
2026-08-23T05:17:55Z	2	0	4273197	940326
2026-08-23T05:18:00Z	2	0	4273197	940326
2026-08-23T05:18:05Z	2	0	4273197	940326
2026-08-23T05:18:10Z	2	0	4273197	940326
2026-08-23T05:18:15Z	2	0	4273197	940326
2026-08-23T05:18:21Z	2	0	4273197	940326
2026-08-23T05:18:26Z	2	0	4273197	940326
2026-08-23T05:18:31Z	2	0	4273197	940326
2026-08-23T05:18:36Z	2	0	4273197	940326
2026-08-23T05:18:41Z	2	0	4273197	940326
2026-08-23T05:18:46Z	2	0	4273197	940326
2026-08-23T05:18:51Z	2	0	4273197	940326
2026-08-23T05:18:56Z	2	0	4273197	940326
2026-08-23T05:19:01Z	2	0	4273197	940326
2026-08-23T05:19:06Z	2	0	4273197	940326
2026-08-23T05:19:11Z	2	0	4273197	940326
2026-08-23T05:19:16Z	2	0	4273197	940326
