timestamp_utc	requests_processing	prompt_tps	predicted_tps	prompt_tokens_total	tokens_predicted_total
2026-08-24T09:36:45Z	0	0	0	853296	140723
2026-08-24T09:36:50Z	11	0.000	0.000	853296	140723
2026-08-24T09:36:55Z	10	2074.600	336.600	863669	142406
2026-08-24T09:37:00Z	10	3003.000	1158.400	878684	148198
2026-08-24T09:37:05Z	10	4882.000	1145.000	903094	153923
2026-08-24T09:37:10Z	11	5128.600	715.400	928737	157500
2026-08-24T09:37:15Z	10	7060.000	827.000	964037	161635
2026-08-24T09:37:20Z	9	5099.200	1188.200	989533	167576
2026-08-24T09:37:25Z	6	5293.800	847.600	1016002	171814
2026-08-24T09:37:30Z	10	5983.200	713.000	1045918	175379
2026-08-24T09:37:35Z	8	8149.000	1033.000	1086663	180544
2026-08-24T09:37:40Z	8	5005.400	384.600	1111690	182467
2026-08-24T09:37:45Z	8	10781.200	804.600	1165596	186490
2026-08-24T09:37:51Z	9	5160.667	1048.833	1196560	192783
2026-08-24T09:37:56Z	7	1031.200	823.200	1201716	196899
2026-08-24T09:38:01Z	8	2643.200	2003.800	1214932	206918
2026-08-24T09:38:06Z	9	4472.800	441.800	1237296	209127
2026-08-24T09:38:11Z	10	6784.000	1074.200	1271216	214498
2026-08-24T09:38:16Z	8	8663.000	727.800	1314531	218137
2026-08-24T09:38:21Z	5	6305.800	793.000	1346060	222102
2026-08-24T09:38:26Z	8	10755.000	922.800	1399835	226716
2026-08-24T09:38:31Z	8	3868.800	504.400	1419179	229238
2026-08-24T09:38:36Z	9	3283.800	463.400	1435598	231555
2026-08-24T09:38:41Z	9	4475.200	550.800	1457974	234309
2026-08-24T09:38:46Z	8	2446.200	639.200	1470205	237505
2026-08-24T09:38:51Z	10	5389.600	893.200	1497153	241971
2026-08-24T09:38:56Z	7	2658.600	1665.200	1510446	250297
2026-08-24T09:39:01Z	9	7412.400	739.200	1547508	253993
2026-08-24T09:39:06Z	8	3276.200	611.000	1563889	257048
2026-08-24T09:39:11Z	8	0.000	0.000	1563889	257048
2026-08-24T09:39:17Z	8	0.000	0.000	1563889	257048
2026-08-24T09:39:22Z	8	0.000	0.000	1563889	257048
2026-08-24T09:39:27Z	8	0.000	0.000	1563889	257048
2026-08-24T09:39:32Z	8	0.000	0.000	1563889	257048
2026-08-24T09:39:37Z	9	0.000	0.000	1563889	257048
2026-08-24T09:39:42Z	11	3160.000	259.000	1579689	258343
2026-08-24T09:39:47Z	10	36244.600	238.200	1760912	259534
2026-08-24T09:39:52Z	8	516.400	137.600	1763494	260222
2026-08-24T09:39:57Z	8	0.000	0.000	1763494	260222
2026-08-24T09:40:02Z	8	0.000	0.000	1763494	260222
2026-08-24T09:40:07Z	8	0.000	0.000	1763494	260222
2026-08-24T09:40:12Z	8	0.000	0.000	1763494	260222
2026-08-24T09:40:17Z	11	0.000	0.000	1763494	260222
2026-08-24T09:40:22Z	11	2287.800	236.400	1774933	261404
2026-08-24T09:40:27Z	10	34935.400	529.200	1949610	264050
2026-08-24T09:40:32Z	10	0.000	0.000	1949610	264050
2026-08-24T09:40:37Z	10	0.000	0.000	1949610	264050
2026-08-24T09:40:42Z	10	0.000	0.000	1949610	264050
2026-08-24T09:40:48Z	10	0.000	0.000	1949610	264050
2026-08-24T09:40:53Z	10	0.000	0.000	1949610	264050
2026-08-24T09:40:58Z	11	33506.400	299.200	2117142	265546
2026-08-24T09:41:03Z	12	7414.200	1779.200	2154213	274442
2026-08-24T09:41:08Z	12	5873.200	482.200	2183579	276853
2026-08-24T09:41:13Z	11	6496.800	1431.800	2216063	284012
2026-08-24T09:41:18Z	11	2145.000	2595.800	2226788	296991
2026-08-24T09:41:23Z	11	3697.800	795.200	2245277	300967
2026-08-24T09:41:28Z	11	8829.000	836.800	2289422	305151
2026-08-24T09:41:33Z	11	11406.600	810.200	2346455	309202
2026-08-24T09:41:38Z	11	4368.600	621.400	2368298	312309
2026-08-24T09:41:43Z	12	9513.600	827.400	2415866	316446
2026-08-24T09:41:48Z	11	2693.400	728.600	2429333	320089
2026-08-24T09:41:53Z	12	2057.000	1097.400	2439618	325576
2026-08-24T09:41:58Z	11	8776.800	786.800	2483502	329510
2026-08-24T09:42:03Z	11	3802.400	738.000	2502514	333200
2026-08-24T09:42:08Z	11	1655.200	1686.600	2510790	341633
2026-08-24T09:42:13Z	12	2729.500	1063.333	2527167	348013
2026-08-24T09:42:19Z	10	1301.600	612.600	2533675	351076
2026-08-24T09:42:24Z	10	0.000	0.000	2533675	351076
2026-08-24T09:42:29Z	11	235.400	78.600	2534852	351469
2026-08-24T09:42:34Z	12	686.200	98.800	2538283	351963
2026-08-24T09:42:39Z	12	886.400	1401.600	2542715	358971
2026-08-24T09:42:44Z	11	28315.000	1234.400	2684290	365143
