timestamp_utc	requests_processing	prompt_tps	predicted_tps	prompt_tokens_total	tokens_predicted_total
2026-08-24T07:56:56Z	0	0	0	80	8
2026-08-24T07:57:01Z	11	0.000	0.000	80	8
2026-08-24T07:57:06Z	10	1643.800	509.800	8299	2557
2026-08-24T07:57:11Z	8	3478.600	675.400	25692	5934
2026-08-24T07:57:16Z	10	4668.600	1244.600	49035	12157
2026-08-24T07:57:21Z	12	5418.800	809.600	76129	16205
2026-08-24T07:57:27Z	12	1998.500	337.167	88120	18228
2026-08-24T07:57:32Z	11	4521.000	568.200	110725	21069
2026-08-24T07:57:37Z	11	2561.000	317.000	123530	22654
2026-08-24T07:57:42Z	11	6810.800	735.200	157584	26330
2026-08-24T07:57:47Z	12	7844.600	1553.800	196807	34099
2026-08-24T07:57:52Z	11	2061.400	829.200	207114	38245
2026-08-24T07:57:57Z	12	2089.800	296.200	217563	39726
2026-08-24T07:58:02Z	9	4546.400	2350.400	240295	51478
2026-08-24T07:58:07Z	11	1448.800	1842.800	247539	60692
2026-08-24T07:58:12Z	11	2166.800	351.600	258373	62450
2026-08-24T07:58:17Z	11	5666.800	1543.600	286707	70168
2026-08-24T07:58:22Z	11	3688.200	463.000	305148	72483
2026-08-24T07:58:27Z	12	7973.000	575.200	345013	75359
2026-08-24T07:58:32Z	9	7829.600	999.800	384161	80358
2026-08-24T07:58:37Z	9	8040.600	747.000	424364	84093
2026-08-24T07:58:42Z	11	3587.000	154.400	442299	84865
2026-08-24T07:58:47Z	11	6003.600	332.600	472317	86528
2026-08-24T07:58:53Z	11	3940.167	370.333	495958	88750
2026-08-24T07:58:58Z	11	6076.000	597.800	526338	91739
2026-08-24T07:59:03Z	11	6770.600	1501.400	560191	99246
2026-08-24T07:59:08Z	8	5343.800	944.400	586910	103968
2026-08-24T07:59:13Z	10	4212.400	954.600	607972	108741
2026-08-24T07:59:18Z	10	4989.000	304.000	632917	110261
2026-08-24T07:59:23Z	10	9759.800	591.000	681716	113216
2026-08-24T07:59:28Z	11	1040.200	82.600	686917	113629
2026-08-24T07:59:33Z	8	8323.600	787.800	728535	117568
2026-08-24T07:59:38Z	10	2695.000	188.400	742010	118510
2026-08-24T07:59:43Z	10	0.000	0.000	742010	118510
2026-08-24T07:59:48Z	10	5273.400	748.400	768377	122252
2026-08-24T07:59:54Z	9	166.833	114.833	769378	122941
2026-08-24T07:59:59Z	10	1860.200	221.400	778679	124048
2026-08-24T08:00:04Z	10	1728.600	628.600	787322	127191
2026-08-24T08:00:09Z	10	293.200	218.800	788788	128285
2026-08-24T08:00:14Z	10	2404.800	376.600	800812	130168
2026-08-24T08:00:19Z	9	322.200	84.200	802423	130589
2026-08-24T08:00:24Z	9	4311.400	1216.600	823980	136672
2026-08-24T08:00:29Z	10	3977.000	65.200	843865	136998
2026-08-24T08:00:34Z	10	553.400	781.600	846632	140906
2026-08-24T08:00:39Z	10	821.200	1697.400	850738	149393
2026-08-24T08:00:44Z	10	3031.800	273.000	865897	150758
2026-08-24T08:00:49Z	10	961.600	1227.800	870705	156897
2026-08-24T08:00:54Z	11	2006.400	541.600	880737	159605
2026-08-24T08:00:59Z	9	3525.800	1290.600	898366	166058
2026-08-24T08:01:04Z	10	1207.600	179.000	904404	166953
2026-08-24T08:01:09Z	12	9706.600	960.800	952937	171757
2026-08-24T08:01:15Z	12	7436.833	413.333	997558	174237
2026-08-24T08:01:20Z	11	4649.600	751.200	1020806	177993
2026-08-24T08:01:25Z	10	3068.400	540.600	1036148	180696
2026-08-24T08:01:30Z	11	2005.000	215.400	1046173	181773
2026-08-24T08:01:35Z	11	7673.400	532.200	1084540	184434
2026-08-24T08:01:40Z	11	8141.000	452.200	1125245	186695
2026-08-24T08:01:45Z	11	1813.000	331.000	1134310	188350
2026-08-24T08:01:50Z	11	3627.400	517.400	1152447	190937
2026-08-24T08:01:55Z	11	2889.000	365.200	1166892	192763
2026-08-24T08:02:00Z	10	1103.400	356.600	1172409	194546
2026-08-24T08:02:05Z	10	2202.200	950.200	1183420	199297
2026-08-24T08:02:10Z	12	623.800	145.000	1186539	200022
2026-08-24T08:02:15Z	12	2228.200	447.000	1197680	202257
2026-08-24T08:02:20Z	12	6945.600	659.000	1232408	205552
2026-08-24T08:02:25Z	11	3678.400	438.200	1250800	207743
2026-08-24T08:02:30Z	11	3008.200	742.000	1265841	211453
2026-08-24T08:02:35Z	12	5718.800	375.800	1294435	213332
2026-08-24T08:02:41Z	12	3888.500	474.667	1317766	216180
2026-08-24T08:02:46Z	12	7716.200	461.600	1356347	218488
2026-08-24T08:02:51Z	11	3508.600	443.800	1373890	220707
2026-08-24T08:02:56Z	11	9140.600	362.000	1419593	222517
2026-08-24T08:03:01Z	12	2191.400	417.800	1430550	224606
2026-08-24T08:03:06Z	11	1765.400	133.000	1439377	225271
2026-08-24T08:03:11Z	11	4087.000	221.200	1459812	226377
2026-08-24T08:03:16Z	12	312.400	78.400	1461374	226769
2026-08-24T08:03:21Z	11	9239.200	1146.200	1507570	232500
2026-08-24T08:03:26Z	12	7796.600	220.200	1546553	233601
2026-08-24T08:03:31Z	11	961.000	153.000	1551358	234366
2026-08-24T08:03:36Z	10	6200.600	602.000	1582361	237376
2026-08-24T08:03:41Z	12	1810.200	91.200	1591412	237832
2026-08-24T08:03:46Z	12	6759.000	151.200	1625207	238588
2026-08-24T08:03:51Z	12	0.000	0.000	1625207	238588
2026-08-24T08:03:56Z	12	1238.800	241.000	1631401	239793
2026-08-24T08:04:01Z	12	490.200	284.400	1633852	241215
2026-08-24T08:04:06Z	12	0.000	0.000	1633852	241215
2026-08-24T08:04:12Z	12	665.333	200.000	1637844	242415
2026-08-24T08:04:17Z	11	720.800	359.400	1641448	244212
2026-08-24T08:04:22Z	12	6007.400	809.200	1671485	248258
2026-08-24T08:04:27Z	12	883.200	3012.600	1675901	263321
2026-08-24T08:04:32Z	12	3322.000	278.200	1692511	264712
2026-08-24T08:04:37Z	12	5652.000	99.000	1720771	265207
2026-08-24T08:04:42Z	12	220.600	964.000	1721874	270027
2026-08-24T08:04:47Z	12	7238.800	125.600	1758068	270655
2026-08-24T08:04:52Z	9	8926.600	491.200	1802701	273111
2026-08-24T08:04:57Z	11	7541.800	46.200	1840410	273342
2026-08-24T08:05:02Z	12	1928.800	1567.200	1850054	281178
2026-08-24T08:05:07Z	12	6085.600	627.600	1880482	284316
2026-08-24T08:05:12Z	12	5488.400	436.200	1907924	286497
2026-08-24T08:05:17Z	12	2535.800	357.600	1920603	288285
2026-08-24T08:05:22Z	12	1693.600	163.200	1929071	289101
2026-08-24T08:05:27Z	12	2981.400	266.200	1943978	290432
2026-08-24T08:05:32Z	12	5094.000	237.200	1969448	291618
2026-08-24T08:05:37Z	12	1471.400	138.800	1976805	292312
2026-08-24T08:05:43Z	12	2017.500	525.833	1988910	295467
2026-08-24T08:05:48Z	11	2002.200	1519.200	1998921	303063
2026-08-24T08:05:53Z	12	4564.000	659.600	2021741	306361
2026-08-24T08:05:58Z	11	3767.600	176.800	2040579	307245
2026-08-24T08:06:03Z	12	2049.800	463.200	2050828	309561
2026-08-24T08:06:08Z	12	3161.600	141.600	2066636	310269
2026-08-24T08:06:13Z	12	2405.400	88.800	2078663	310713
2026-08-24T08:06:18Z	12	3218.400	407.800	2094755	312752
2026-08-24T08:06:23Z	12	601.800	339.000	2097764	314447
2026-08-24T08:06:28Z	12	2473.000	82.400	2110129	314859
2026-08-24T08:06:33Z	11	2131.800	943.200	2120788	319575
2026-08-24T08:06:38Z	11	3459.000	274.800	2138083	320949
2026-08-24T08:06:43Z	12	4151.400	802.000	2158840	324959
2026-08-24T08:06:48Z	12	230.800	62.600	2159994	325272
2026-08-24T08:06:53Z	12	2884.800	138.400	2174418	325964
2026-08-24T08:06:58Z	11	4236.200	536.800	2195599	328648
2026-08-24T08:07:03Z	12	0.000	0.000	2195599	328648
2026-08-24T08:07:08Z	11	3575.600	3871.600	2213477	348006
2026-08-24T08:07:14Z	12	2481.167	55.333	2228364	348338
2026-08-24T08:07:19Z	11	7893.000	272.000	2267829	349698
2026-08-24T08:07:24Z	11	3339.600	146.600	2284527	350431
2026-08-24T08:07:29Z	12	870.200	51.600	2288878	350689
2026-08-24T08:07:34Z	12	330.000	103.200	2290528	351205
2026-08-24T08:07:39Z	12	1349.800	716.800	2297277	354789
2026-08-24T08:07:44Z	11	1095.200	96.200	2302753	355270
2026-08-24T08:07:49Z	12	5862.800	604.800	2332067	358294
2026-08-24T08:07:54Z	12	5845.800	79.800	2361296	358693
2026-08-24T08:07:59Z	11	1628.600	166.000	2369439	359523
2026-08-24T08:08:04Z	11	4751.600	397.200	2393197	361509
2026-08-24T08:08:09Z	11	1774.400	636.600	2402069	364692
2026-08-24T08:08:14Z	12	491.600	214.800	2404527	365766
2026-08-24T08:08:19Z	12	1160.600	236.600	2410330	366949
2026-08-24T08:08:24Z	12	164.200	171.200	2411151	367805
2026-08-24T08:08:29Z	12	713.800	434.800	2414720	369979
2026-08-24T08:08:34Z	12	4510.000	351.800	2437270	371738
2026-08-24T08:08:39Z	12	3926.400	2286.800	2456902	383172
2026-08-24T08:08:45Z	12	1866.500	689.333	2468101	387308
2026-08-24T08:08:50Z	11	3236.800	171.200	2484285	388164
2026-08-24T08:08:55Z	12	272.400	29.600	2485647	388312
2026-08-24T08:09:00Z	12	3971.400	549.800	2505504	391061
2026-08-24T08:09:05Z	12	3372.400	221.800	2522366	392170
2026-08-24T08:09:10Z	12	1529.600	318.800	2530014	393764
2026-08-24T08:09:15Z	12	1678.600	203.800	2538407	394783
2026-08-24T08:09:20Z	11	1693.000	262.800	2546872	396097
2026-08-24T08:09:25Z	12	7488.200	698.000	2584313	399587
2026-08-24T08:09:30Z	11	1685.600	325.400	2592741	401214
2026-08-24T08:09:35Z	11	6170.600	547.200	2623594	403950
2026-08-24T08:09:40Z	11	4075.400	304.600	2643971	405473
2026-08-24T08:09:45Z	12	1413.600	644.400	2651039	408695
2026-08-24T08:09:50Z	12	1882.400	160.800	2660451	409499
2026-08-24T08:09:55Z	12	3079.800	2424.000	2675850	421619
2026-08-24T08:10:00Z	11	5064.200	347.400	2701171	423356
2026-08-24T08:10:05Z	11	2393.800	473.200	2713140	425722
2026-08-24T08:10:11Z	10	1627.333	509.500	2722904	428779
2026-08-24T08:10:16Z	12	1280.400	1757.600	2729306	437567
2026-08-24T08:10:21Z	12	2418.800	204.800	2741400	438591
2026-08-24T08:10:26Z	11	4337.800	1002.400	2763089	443603
2026-08-24T08:10:31Z	12	3132.400	359.400	2778751	445400
2026-08-24T08:10:36Z	12	555.200	97.200	2781527	445886
2026-08-24T08:10:41Z	12	2910.200	296.200	2796078	447367
2026-08-24T08:10:46Z	12	3746.600	817.400	2814811	451454
2026-08-24T08:10:51Z	12	1717.800	3816.200	2823400	470535
2026-08-24T08:10:56Z	12	6079.600	295.200	2853798	472011
2026-08-24T08:11:01Z	11	2483.800	1297.800	2866217	478500
2026-08-24T08:11:06Z	12	6064.800	928.000	2896541	483140
2026-08-24T08:11:11Z	12	5562.600	549.400	2924354	485887
2026-08-24T08:11:16Z	12	5540.200	552.800	2952055	488651
2026-08-24T08:11:21Z	11	2784.600	346.000	2965978	490381
2026-08-24T08:11:26Z	12	0.000	0.000	2965978	490381
2026-08-24T08:11:31Z	12	853.000	500.200	2970243	492882
2026-08-24T08:11:36Z	12	4154.000	403.200	2991013	494898
2026-08-24T08:11:42Z	12	3608.333	287.833	3012663	496625
2026-08-24T08:11:47Z	11	1875.000	555.000	3022038	499400
2026-08-24T08:11:52Z	12	356.800	3848.600	3023822	518643
2026-08-24T08:11:57Z	11	3835.800	397.600	3043001	520631
2026-08-24T08:12:02Z	11	0.000	0.000	3043001	520631
2026-08-24T08:12:07Z	11	2485.600	848.000	3055429	524871
2026-08-24T08:12:12Z	11	3578.400	520.800	3073321	527475
2026-08-24T08:12:17Z	12	5494.600	499.800	3100794	529974
2026-08-24T08:12:22Z	12	6053.200	725.000	3131060	533599
2026-08-24T08:12:27Z	11	2392.000	175.200	3143020	534475
2026-08-24T08:12:32Z	10	2436.000	508.600	3155200	537018
2026-08-24T08:12:37Z	10	5071.400	1197.800	3180557	543007
2026-08-24T08:12:42Z	11	5584.200	239.800	3208478	544206
2026-08-24T08:12:47Z	12	4877.600	833.200	3232866	548372
2026-08-24T08:12:52Z	11	4704.600	634.600	3256389	551545
2026-08-24T08:12:57Z	11	1566.000	233.000	3264219	552710
2026-08-24T08:13:02Z	12	4817.200	925.200	3288305	557336
2026-08-24T08:13:07Z	12	7083.000	299.000	3323720	558831
2026-08-24T08:13:13Z	12	800.667	402.500	3328524	561246
2026-08-24T08:13:18Z	12	1954.200	707.800	3338295	564785
2026-08-24T08:13:23Z	11	6472.400	1012.400	3370657	569847
2026-08-24T08:13:28Z	12	7222.200	697.800	3406768	573336
2026-08-24T08:13:33Z	11	3815.400	561.000	3425845	576141
2026-08-24T08:13:38Z	12	2388.000	137.000	3437785	576826
2026-08-24T08:13:43Z	11	8716.600	908.000	3481368	581366
2026-08-24T08:13:48Z	11	436.800	168.600	3483552	582209
2026-08-24T08:13:53Z	11	12679.000	685.400	3546947	585636
2026-08-24T08:13:58Z	11	2626.000	325.600	3560077	587264
2026-08-24T08:14:03Z	11	8054.200	201.800	3600348	588273
2026-08-24T08:14:08Z	11	8748.000	788.200	3644088	592214
2026-08-24T08:14:13Z	12	9153.600	491.400	3689856	594671
2026-08-24T08:14:18Z	12	5857.000	343.600	3719141	596389
2026-08-24T08:14:24Z	12	1662.833	664.667	3729118	600377
2026-08-24T08:14:29Z	12	6471.400	258.400	3761475	601669
2026-08-24T08:14:34Z	12	2140.000	562.800	3772175	604483
2026-08-24T08:14:39Z	12	4135.400	764.000	3792852	608303
2026-08-24T08:14:44Z	11	1436.000	153.800	3800032	609072
2026-08-24T08:14:49Z	10	2092.200	416.200	3810493	611153
2026-08-24T08:14:54Z	9	3006.400	546.600	3825525	613886
2026-08-24T08:14:59Z	7	6903.000	346.400	3860040	615618
2026-08-24T08:15:04Z	7	1931.200	1128.000	3869696	621258
2026-08-24T08:15:09Z	7	4832.200	222.800	3893857	622372
2026-08-24T08:15:14Z	7	7918.600	218.000	3933450	623462
2026-08-24T08:15:19Z	6	4512.200	100.000	3956011	623962
